#{"t_start": 1733273477.165031, "env_id": "None"}
r,l,t
-0.006184,26,355.003127
-0.00201,6,355.009677
-0.006316,26,355.035901
-0.006055,26,355.062109
-0.006624,26,355.090473
-0.006501,26,355.116215
-0.002367,8,355.125262
-0.002322,8,355.133728
-0.006727,28,355.164182
-0.002446,8,355.172344
-0.006458,26,355.200991
-0.003301,22,355.224075
-0.006701,26,355.251408
-0.002039,6,355.25898
-0.006663,26,355.285833
-0.002386,8,355.294527
-0.006304,26,355.323229
-0.006353,26,355.360143
-0.006482,26,355.390535
-0.003382,8,355.397915
-0.002445,8,355.40756
-0.006615,26,355.434996
-0.006146,26,355.462773
-0.00632,26,355.489417
-0.006273,26,355.517703
-0.006549,26,355.545743
-0.006099,26,355.572906
-0.006393,26,355.599541
-0.039233,105,355.710869
-0.006265,26,355.737623
-0.006477,26,355.765717
-0.006386,26,355.793195
-0.006458,26,355.820994
-0.001977,6,355.846956
-0.006076,26,355.889434
-0.002039,6,355.895996
-0.006675,26,355.925231
-0.00201,6,355.933316
-0.001977,6,355.939376
-0.00201,6,355.945467
-0.006453,26,355.972726
-0.002401,8,355.979764
-0.006307,26,356.006651
-0.006321,26,356.032843
-0.00655,26,356.057888
-0.002265,8,356.066133
-0.006513,26,356.093673
-0.002508,8,356.101769
-0.006451,28,356.14303
-0.006143,26,356.192875
-0.006338,26,356.232597
-0.002104,6,356.238142
-0.006529,26,356.264582
-0.006638,26,356.291284
-0.002104,6,356.297926
-0.006561,26,356.326828
-0.006708,26,356.35844
-0.002071,6,356.365551
-0.006447,26,356.395583
-0.006266,26,356.423831
-0.002071,6,356.431363
-0.006118,26,356.461789
-0.006128,26,356.490195
-0.006279,26,356.515414
-0.006531,26,358.212429
-0.006464,26,358.238271
-0.00229,8,358.246341
-0.001946,6,358.251829
-0.006223,26,358.27724
-0.006369,26,358.304333
-0.006682,26,358.32991
-0.006518,26,358.357204
-0.006238,26,358.385599
-0.006417,26,358.412815
-0.002071,6,358.419307
-0.002361,8,358.427985
-0.006549,26,358.455684
-0.00246,8,358.465708
-0.002039,6,358.471971
-0.006276,26,358.500752
-0.006191,26,358.530001
-0.00653,26,358.558896
-0.006466,26,358.58537
-0.006599,26,358.611706
-0.006031,26,358.63933
-0.006614,26,358.666034
-0.006647,26,358.693793
-0.006516,26,358.722453
-0.002404,8,358.73001
-0.006633,28,358.758542
-0.006432,26,358.783939
-0.006442,26,358.810638
-0.006163,26,358.841351
-0.002039,6,358.848523
-0.039937,105,358.95266
-0.001946,6,358.959201
-0.006181,26,358.989632
-0.006319,26,359.01905
-0.00201,6,359.026063
-0.002509,8,359.034059
-0.006521,26,359.059442
-0.006494,26,359.084844
-0.039799,105,359.194787
-0.006169,26,359.221556
-0.006326,26,359.248574
-0.006346,26,359.276513
-0.002327,8,359.284665
-0.006328,26,359.312337
-0.002446,8,359.321858
-0.006292,26,359.35181
-0.006591,26,359.378767
-0.006652,26,359.406332
-0.00673,26,359.435237
-0.006376,26,359.462704
-0.00629,26,359.489263
-0.006374,26,359.516037
-0.006356,26,359.547361
-0.006131,26,359.573474
-0.006829,26,359.600917
-0.006242,26,359.626312
